id;alcoholism;birthday;diabetes;dni;gender;handicapped;hypertension;lastname;name;neighborhood;social_security_plan;;;;;;;;;;;;;;;;
1;0;1982-10-09;0;29747542;0;0;0;Arias;Hernan;Lanus;0;;INSERT INTO `tfi-sala_espera_virtual`.`patients` (`id`, `alcoholism`, `birthday`, `diabetes`, `dni`, `gender`, `handicapped`, `hypertension`, `lastname`, `name`, `neighborhood`, `social_security_plan`) VALUES (;'1',;b'0',;';1982-10-09;',;b'0',;'29747542',;b'0',;b'0',;b'0',;'Arias',;'Hernan',;'Lanus',;"b'0');"
2;0;1982-10-09;0;29747542;0;0;0;Arias;Hernan;Lanus;0;;INSERT INTO `tfi-sala_espera_virtual`.`patients` (`id`, `alcoholism`, `birthday`, `diabetes`, `dni`, `gender`, `handicapped`, `hypertension`, `lastname`, `name`, `neighborhood`, `social_security_plan`) VALUES (;'2',;b'0',;';1982-10-09;',;b'0',;'29747542',;b'0',;b'0',;b'0',;'Arias',;'Hernan',;'Lanus',;"b'0');"
3;0;1982-10-09;0;29747542;0;0;0;Arias;Hernan;Lanus;0;;INSERT INTO `tfi-sala_espera_virtual`.`patients` (`id`, `alcoholism`, `birthday`, `diabetes`, `dni`, `gender`, `handicapped`, `hypertension`, `lastname`, `name`, `neighborhood`, `social_security_plan`) VALUES (;'3',;b'0',;';1982-10-09;',;b'0',;'29747542',;b'0',;b'0',;b'0',;'Arias',;'Hernan',;'Lanus',;"b'0');"
4;0;1982-10-09;0;29747542;0;0;0;Arias;Hernan;Lanus;0;;INSERT INTO `tfi-sala_espera_virtual`.`patients` (`id`, `alcoholism`, `birthday`, `diabetes`, `dni`, `gender`, `handicapped`, `hypertension`, `lastname`, `name`, `neighborhood`, `social_security_plan`) VALUES (;'4',;b'0',;';1982-10-09;',;b'0',;'29747542',;b'0',;b'0',;b'0',;'Arias',;'Hernan',;'Lanus',;"b'0');"
5;0;1982-10-09;0;29747542;0;0;0;Arias;Hernan;Lanus;0;;INSERT INTO `tfi-sala_espera_virtual`.`patients` (`id`, `alcoholism`, `birthday`, `diabetes`, `dni`, `gender`, `handicapped`, `hypertension`, `lastname`, `name`, `neighborhood`, `social_security_plan`) VALUES (;'5',;b'0',;';1982-10-09;',;b'0',;'29747542',;b'0',;b'0',;b'0',;'Arias',;'Hernan',;'Lanus',;"b'0');"
6;0;1982-10-09;0;29747542;0;0;0;Arias;Hernan;Lanus;0;;INSERT INTO `tfi-sala_espera_virtual`.`patients` (`id`, `alcoholism`, `birthday`, `diabetes`, `dni`, `gender`, `handicapped`, `hypertension`, `lastname`, `name`, `neighborhood`, `social_security_plan`) VALUES (;'6',;b'0',;';1982-10-09;',;b'0',;'29747542',;b'0',;b'0',;b'0',;'Arias',;'Hernan',;'Lanus',;"b'0');"
7;0;1982-10-09;0;29747542;0;0;0;Arias;Hernan;Lanus;0;;INSERT INTO `tfi-sala_espera_virtual`.`patients` (`id`, `alcoholism`, `birthday`, `diabetes`, `dni`, `gender`, `handicapped`, `hypertension`, `lastname`, `name`, `neighborhood`, `social_security_plan`) VALUES (;'7',;b'0',;';1982-10-09;',;b'0',;'29747542',;b'0',;b'0',;b'0',;'Arias',;'Hernan',;'Lanus',;"b'0');"
8;0;1982-10-09;0;29747542;0;0;0;Arias;Hernan;Lanus;0;;INSERT INTO `tfi-sala_espera_virtual`.`patients` (`id`, `alcoholism`, `birthday`, `diabetes`, `dni`, `gender`, `handicapped`, `hypertension`, `lastname`, `name`, `neighborhood`, `social_security_plan`) VALUES (;'8',;b'0',;';1982-10-09;',;b'0',;'29747542',;b'0',;b'0',;b'0',;'Arias',;'Hernan',;'Lanus',;"b'0');"
9;0;1982-10-09;0;29747542;0;0;0;Arias;Hernan;Lanus;0;;INSERT INTO `tfi-sala_espera_virtual`.`patients` (`id`, `alcoholism`, `birthday`, `diabetes`, `dni`, `gender`, `handicapped`, `hypertension`, `lastname`, `name`, `neighborhood`, `social_security_plan`) VALUES (;'9',;b'0',;';1982-10-09;',;b'0',;'29747542',;b'0',;b'0',;b'0',;'Arias',;'Hernan',;'Lanus',;"b'0');"
10;0;1982-10-09;0;29747542;0;0;0;Arias;Hernan;Lanus;0;;INSERT INTO `tfi-sala_espera_virtual`.`patients` (`id`, `alcoholism`, `birthday`, `diabetes`, `dni`, `gender`, `handicapped`, `hypertension`, `lastname`, `name`, `neighborhood`, `social_security_plan`) VALUES (;'10',;b'0',;';1982-10-09;',;b'0',;'29747542',;b'0',;b'0',;b'0',;'Arias',;'Hernan',;'Lanus',;"b'0');"
11;0;1981-11-11;0;22987456;0;0;0;Lunga;Luciano;Lomas;1;;INSERT INTO `tfi-sala_espera_virtual`.`patients` (`id`, `alcoholism`, `birthday`, `diabetes`, `dni`, `gender`, `handicapped`, `hypertension`, `lastname`, `name`, `neighborhood`, `social_security_plan`) VALUES (;'11',;b'0',;';1981-11-11;',;b'0',;'22987456',;b'0',;b'0',;b'0',;'Lunga',;'Luciano',;'Lomas',;"b'1');"
12;1;1982-02-15;0;29851753;0;0;0;Perez;Alejo;Temperley;0;;INSERT INTO `tfi-sala_espera_virtual`.`patients` (`id`, `alcoholism`, `birthday`, `diabetes`, `dni`, `gender`, `handicapped`, `hypertension`, `lastname`, `name`, `neighborhood`, `social_security_plan`) VALUES (;'12',;b'1',;';1982-02-15;',;b'0',;'29851753',;b'0',;b'0',;b'0',;'Perez',;'Alejo',;'Temperley',;"b'0');"
13;0;1980-02-25;0;29356543;1;0;1;Perez;Paula;Lanus;0;;INSERT INTO `tfi-sala_espera_virtual`.`patients` (`id`, `alcoholism`, `birthday`, `diabetes`, `dni`, `gender`, `handicapped`, `hypertension`, `lastname`, `name`, `neighborhood`, `social_security_plan`) VALUES (;'13',;b'0',;';1980-02-25;',;b'0',;'29356543',;b'1',;b'0',;b'1',;'Perez',;'Paula',;'Lanus',;"b'0');"
14;0;1955-05-15;0;12615229;0;0;0;Sanchez;Julio;Lanus;0;;INSERT INTO `tfi-sala_espera_virtual`.`patients` (`id`, `alcoholism`, `birthday`, `diabetes`, `dni`, `gender`, `handicapped`, `hypertension`, `lastname`, `name`, `neighborhood`, `social_security_plan`) VALUES (;'14',;b'0',;';1955-05-15;',;b'0',;'12615229',;b'0',;b'0',;b'0',;'Sanchez',;'Julio',;'Lanus',;"b'0');"
15;0;1984-05-15;0;33153323;1;0;0;Bonilla;Laura;Lanus;0;;INSERT INTO `tfi-sala_espera_virtual`.`patients` (`id`, `alcoholism`, `birthday`, `diabetes`, `dni`, `gender`, `handicapped`, `hypertension`, `lastname`, `name`, `neighborhood`, `social_security_plan`) VALUES (;'15',;b'0',;';1984-05-15;',;b'0',;'33153323',;b'1',;b'0',;b'0',;'Bonilla',;'Laura',;'Lanus',;"b'0');"
16;0;1982-02-27;0;29445256;1;0;1;Gonzales;Andrea;Temperlay;1;;INSERT INTO `tfi-sala_espera_virtual`.`patients` (`id`, `alcoholism`, `birthday`, `diabetes`, `dni`, `gender`, `handicapped`, `hypertension`, `lastname`, `name`, `neighborhood`, `social_security_plan`) VALUES (;'16',;b'0',;';1982-02-27;',;b'0',;'29445256',;b'1',;b'0',;b'1',;'Gonzales',;'Andrea',;'Temperlay',;"b'1');"
